timestamp	parent_pid	parent_cpu_percent	parent_rss_kib	parent_state	descendant_cpu_percent	descendant_rss_kib	visible_phase_marker	quiet_eligible
2026-09-25T22:21:54+09:00	90809	7.1	331456	S+	0.0	32064	running-terminal	false
2026-09-25T22:21:59+09:00	90809	9.8	259664	S+	0.0	32064	running-terminal	false
2026-09-25T22:22:04+09:00	90809	11.7	222288	S+	0.0	32016	running-terminal	false
2026-09-25T22:22:09+09:00	90809	6.9	254176	S+	0.0	32016	running-terminal	false
2026-09-25T22:22:15+09:00	90809	16.6	347040	S+	0.0	32016	running-terminal	false
2026-09-25T22:22:20+09:00	90809	30.5	360496	S+	0.0	29280	running-terminal	false
2026-09-25T22:22:25+09:00	90809	5.8	404992	S+	0.0	40000	running-terminal	false
2026-09-25T22:22:30+09:00	90809	6.4	444448	R+	0.0	32864	running-terminal	false
2026-09-25T22:22:35+09:00	90809	92.4	492864	R+	0.0	31968	running-terminal	false
2026-09-25T22:22:40+09:00	90809	95.7	512048	R+	0.0	30896	running-terminal	false
2026-09-25T22:22:46+09:00	90809	62.9	385472	R+	157.6	336400	running-terminal	false
2026-09-25T22:22:51+09:00	90809	39.1	233312	R+	213.0	424144	running-terminal	false
2026-09-25T22:22:56+09:00	90809	52.7	272640	R+	225.6	440960	running-terminal	false
2026-09-25T22:23:01+09:00	90809	89.4	448096	R+	1.4	41760	running-terminal	false
2026-09-25T22:23:07+09:00	90809	94.9	553744	R+	0.0	32240	running-terminal	false
2026-09-25T22:23:12+09:00	90809	56.9	461120	S+	6.3	47936	running-terminal	false
2026-09-25T22:23:17+09:00	90809	7.6	300304	S+	0.0	32176	running-terminal	false
2026-09-25T22:23:22+09:00	90809	33.6	409024	R+	0.0	40224	running-terminal	false
2026-09-25T22:23:27+09:00	90809	18.1	522976	S+	0.0	40224	running-terminal	false
2026-09-25T22:23:32+09:00	90809	5.5	222560	S+	7.3	139344	running-terminal	false
2026-09-25T22:23:37+09:00	90809	6.8	325760	S+	0.0	31968	running-terminal	false
2026-09-25T22:23:42+09:00	90809	10.1	242896	S+	0.0	32768	running-terminal	false
2026-09-25T22:23:48+09:00	90809	6.2	348704	S+	0.0	32176	running-terminal	false
2026-09-25T22:23:53+09:00	90809	87.8	461664	R+	0.0	32176	running-terminal	false
2026-09-25T22:23:58+09:00	90809	90.2	436912	R+	0.0	32176	running-terminal	false
2026-09-25T22:24:03+09:00	90809	96.1	494240	R+	0.0	32176	running-terminal	false
2026-09-25T22:24:08+09:00	90809	91.9	470672	R+	1.7	36528	running-terminal	false
2026-09-25T22:24:13+09:00	90809	105.1	626784	R+	0.0	36368	running-terminal	false
2026-09-25T22:24:19+09:00	90809	10.9	273040	S+	0.0	32112	running-terminal	false
2026-09-25T22:24:24+09:00	90809	51.3	395456	R+	206.3	392400	running-terminal	false
2026-09-25T22:24:29+09:00	90809	91.8	452880	R+	0.0	32176	running-terminal	false
2026-09-25T22:24:34+09:00	90809	82.6	429984	U+	0.0	32176	completed	true
2026-09-25T22:24:39+09:00	90809	92.9	509408	R+	0.0	32160	running-terminal	false
2026-09-25T22:24:45+09:00	90809	104.6	556880	R+	0.1	40384	running-terminal	false
2026-09-25T22:24:50+09:00	90809	59.6	480960	S+	0.0	32224	running-terminal	false
2026-09-25T22:24:55+09:00	90809	22.3	408912	S+	0.0	42720	running-terminal	false
2026-09-25T22:25:00+09:00	90809	52.0	416624	S+	0.0	32224	running-terminal	false
2026-09-25T22:25:05+09:00	90809	92.1	498048	R+	0.0	32224	running-terminal	false
2026-09-25T22:25:10+09:00	90809	13.7	337856	R+	0.0	32160	running-terminal	false
2026-09-25T22:25:15+09:00	90809	33.7	464128	S+	0.0	32160	running-terminal	false
2026-09-25T22:25:21+09:00	90809	99.5	540656	R+	0.0	30848	running-terminal	false
2026-09-25T22:25:26+09:00	90809	95.6	648064	R+	0.0	32176	running-terminal	false
2026-09-25T22:25:31+09:00	90809	22.5	479232	R+	0.0	32992	running-terminal	false
2026-09-25T22:25:36+09:00	90809	7.7	260080	S+	0.0	32608	running-terminal	false
2026-09-25T22:25:41+09:00	90809	39.4	345312	S+	0.0	27808	running-terminal	false
2026-09-25T22:25:46+09:00	90809	21.4	234768	S+	0.0	24096	running-terminal	false
2026-09-25T22:25:51+09:00	90809	12.9	213232	S+	0.0	23888	running-terminal	false
2026-09-25T22:25:56+09:00	90809	5.3	187328	S+	0.0	23776	running-terminal	false
2026-09-25T22:26:02+09:00	90809	15.4	232480	S+	0.0	23776	running-terminal	false
2026-09-25T22:26:07+09:00	90809	9.5	244128	R+	0.0	23776	running-terminal	false
2026-09-25T22:26:12+09:00	90809	9.3	240544	S+	0.0	23776	running-terminal	false
2026-09-25T22:26:17+09:00	90809	25.3	303920	R+	0.0	31824	running-terminal	false
2026-09-25T22:26:23+09:00	90809	22.8	202640	S+	235.6	504992	running-terminal	false
2026-09-25T22:26:28+09:00	90809	43.3	450544	S+	0.0	32128	running-terminal	false
2026-09-25T22:26:33+09:00	90809	8.3	287792	S+	0.0	33344	running-terminal	false
2026-09-25T22:26:38+09:00	90809	6.9	233840	S+	0.0	32112	running-terminal	false
