timestamp	pid	pid_exists	cpu_percent	rss_kb	state	direct_child_count	direct_child_cpu_percent	direct_child_rss_kb	screen_phase	terminal_running	latest_source_id
2026-09-25T22:07:33+09:00	90809	true	59.8	522272	S+	1	0.0	54624	terminal-running	true	
2026-09-25T22:07:38+09:00	90809	true	15.7	297696	R+	1	19.3	158352	terminal-running	true	
2026-09-25T22:07:43+09:00	90809	true	7.4	255536	R+	1	12.9	139264	terminal-running	true	
2026-09-25T22:07:48+09:00	90809	true	16.7	317200	R+	1	0.1	55968	terminal-running	true	
2026-09-25T22:07:53+09:00	90809	true	105.9	459072	R+	1	0.1	54800	terminal-running	true	
2026-09-25T22:07:58+09:00	90809	true	91.1	443616	R+	1	2.7	70224	terminal-running	true	
2026-09-25T22:08:03+09:00	90809	true	45.8	405296	S+	1	0.4	67056	terminal-running	true	
2026-09-25T22:08:08+09:00	90809	true	59.5	284960	R+	1	2.4	51408	terminal-running	true	
2026-09-25T22:08:13+09:00	90809	true	22.3	461568	S+	1	0.0	48176	terminal-running	true	
2026-09-25T22:08:18+09:00	90809	true	133.1	559360	R+	1	0.9	100848	terminal-running	true	
2026-09-25T22:08:23+09:00	90809	true	6.0	422352	S+	1	0.0	77952	terminal-running	true	
2026-09-25T22:08:28+09:00	90809	true	15.9	526144	S+	1	1.3	61856	terminal-running	true	
2026-09-25T22:08:33+09:00	90809	true	14.6	175872	S+	1	0.0	59808	terminal-running	true	
2026-09-25T22:08:38+09:00	90809	true	6.0	457456	R+	1	1.2	71904	terminal-running	true	
2026-09-25T22:08:43+09:00	90809	true	9.1	362320	S+	1	0.0	64528	terminal-running	true	
2026-09-25T22:08:48+09:00	90809	true	20.2	286016	R+	1	22.8	130144	terminal-running	true	
2026-09-25T22:08:53+09:00	90809	true	87.0	383136	R+	1	2.8	79056	terminal-running	true	
2026-09-25T22:08:58+09:00	90809	true	96.5	477456	R+	1	2.5	59888	terminal-running	true	
2026-09-25T22:09:03+09:00	90809	true	33.2	396400	S+	1	2.8	64992	terminal-running	true	
2026-09-25T22:09:08+09:00	90809	true	98.9	496336	R+	1	1.3	61536	terminal-running	true	
2026-09-25T22:09:13+09:00	90809	true	93.5	474896	R+	1	1.1	57920	terminal-running	true	
2026-09-25T22:09:18+09:00	90809	true	98.1	515888	R+	1	0.6	131776	terminal-running	true	
2026-09-25T22:09:23+09:00	90809	true	6.9	484928	S+	1	0.0	58992	terminal-running	true	
2026-09-25T22:09:28+09:00	90809	true	8.5	485984	S+	1	6.6	99472	terminal-running	true	
2026-09-25T22:09:33+09:00	90809	true	65.2	412512	R+	1	14.9	166560	terminal-running	true	
2026-09-25T22:09:38+09:00	90809	true	24.8	448528	S+	1	0.0	55936	terminal-running	true	
2026-09-25T22:09:43+09:00	90809	true	11.7	377872	R+	1	0.0	67584	terminal-running	true	
2026-09-25T22:09:48+09:00	90809	true	25.8	342112	S+	1	0.0	70656	terminal-running	true	
2026-09-25T22:09:53+09:00	90809	true	16.2	234688	S+	1	0.8	58688	terminal-running	true	
2026-09-25T22:09:58+09:00	90809	true	7.1	338464	S+	1	0.0	142256	terminal-running	true	
2026-09-25T22:10:03+09:00	90809	true	8.0	231872	S+	1	1.4	58912	terminal-running	true	
2026-09-25T22:10:08+09:00	90809	true	7.0	343616	S+	1	1.3	58368	terminal-running	true	
2026-09-25T22:10:13+09:00	90809	true	12.6	483424	S+	1	1.2	65568	terminal-running	true	
2026-09-25T22:10:18+09:00	90809	true	15.8	371616	S+	1	1.3	47888	terminal-running	true	
